trajectory_key,valid,no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,ego_progress,time_to_collision_within_bound,comfort,score,error
beaa12171da45b46,True,1.0,1.0,1.0,0.5289375632298985,1.0,1.0,0.8037239846791243,
f3d2d8c177b95556,True,1.0,1.0,1.0,0.4871692198969252,1.0,0.0,0.6196538416237188,
66c9f19c11615415,True,1.0,1.0,1.0,0.26822679818286776,1.0,1.0,0.6950944992428615,
557109eff1465e61,True,0.0,1.0,1.0,0.0,0.0,1.0,0.0,
1a37d69ab5805f15,True,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
eb72736f2edf5380,True,0.0,1.0,1.0,0.0,0.0,1.0,0.0,
20e43811ef645269,True,1.0,1.0,1.0,0.5977386787151303,1.0,1.0,0.8323911161313043,
69f80a41cbaa5c1b,True,1.0,1.0,1.0,0.415962952450925,1.0,1.0,0.7566512301878854,
6c578cebcf47592b,True,1.0,1.0,1.0,0.40320038423820687,0.0,1.0,0.33466682676591947,
1448739cbe165094,True,1.0,0.0,1.0,0.0,0.0,1.0,0.0,
861a8feb26275bd1,True,1.0,1.0,1.0,0.6466961067507164,0.0,1.0,0.4361233778127985,
157c6c5b1b9d5608,True,1.0,1.0,1.0,0.7913557366786792,1.0,0.0,0.7463982236161163,
ed3da5aa48d15354,True,1.0,1.0,1.0,0.5376102407126921,1.0,1.0,0.8073376002969551,
32648fe3eaa45ed1,True,1.0,1.0,1.0,0.3704035894263891,1.0,1.0,0.7376681622609954,
cdd98520c4e95450,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
a4a6338966735427,True,1.0,1.0,1.0,0.33479802751019494,1.0,0.0,0.5561658447959146,
a1adc0fae78f5a3f,True,1.0,1.0,1.0,0.3562855457885432,1.0,0.0,0.565118977411893,
284fd8dedc2c59a4,True,0.0,1.0,1.0,0.0,0.0,1.0,0.0,
40fdcf88e3265655,True,1.0,1.0,1.0,0.5289266580663451,1.0,1.0,0.8037194408609771,
